pmt_id,payment_method_type,country,payment_method_type_name,pmt_type
e0ca8293-d512-11e8-8544-0ed4cc82c482,ewallet,LK,Utility Bill Payment Package Top-Up,lk_ezcash_hybrid
bc08d994-af8f-11e8-a933-0ea3bb4200ce,ewallet,LK,Utility Bill Payment Ceylon Electricity Board ,lk_ezcash_ceb
bc08e2dc-af8f-11e8-a933-0ea3bb4200ce,ewallet,LK,Utility Bill Payment Sri Lanka Telecom,lk_ezcash_slt
bc08e140-af8f-11e8-a933-0ea3bb4200ce,ewallet,LK,Utility Bill Payment National Water Supply ,lk_ezcash_nwsdb
bc08d3d1-af8f-11e8-a933-0ea3bb4200ce,ewallet,LK,eZCash eWallet,lk_ezcash_consumer_wallet
bc08dddd-af8f-11e8-a933-0ea3bb4200ce,ewallet,LK,Utility Bill Payment Lanka Electricity Company ,lk_ezcash_leco
4c2652ba-cdfd-4e79-98bc-ec38a88a7974,bank_redirect,NG,Providus Bank redirect,ng_providusbankredirect_bank
59a38a24-8481-443a-a83f-3fed2eb21686,bank_redirect,NG,FIRST BANK PLC redirect,ng_firstbankredirect_bank
80ede7b4-fb39-4f10-a8ff-701c51de0ecf,bank_redirect,NG,STERLING BANK PLC redirect,ng_sterlingbank_bank
283cbc35-e561-4a28-933d-5bfbc430ce46,bank_redirect,NG,ZENITH BANK PLC redirect,ng_zenithbank_bank
f0ad0a58-25c7-496f-86f3-dca0097097c6,bank_redirect,NG,United Bank for Africa,ng_unitedbankforafrica_bank
7c4c041d-c3ba-415d-a056-ad4cf2964141,bank_redirect,NG,UNITY BANK PLC redirect,ng_unitybankredirect_bank
35c12e24-c6a3-4b1e-bc9d-f41109747c6e,bank_redirect,NG,GTBANK PLC redirect,ng_gtbankredirect_bank
130c1b23-fd50-4f8f-9da6-766ac6550e97,bank_redirect,NG,ACCESS BANK NIGERIA redirect,ng_accessbankredirect_bank
f0357ea1-4ff7-413b-bc1a-599ec92c69fe,bank_redirect,MY,Alliance Bank,my_allianceonline_bank
73f49420-dbb4-454f-abb1-8d83dcc70306,bank_redirect,MY,Affin Bank,my_affinonline_bank
edb73d03-bbd0-4983-b243-4380a312761e,bank_redirect,MY,UOB Bank,my_uob_bank
93c95310-7b45-4bae-8c12-42c6b4ab41b4,bank_redirect,MY,Public Bank,my_publicbankonline_bank
ee8b8f56-6044-4943-9dbe-0d5138a389ed,bank_redirect,MY,HSBC Bank,my_hsbconlinebanking_bank
235d2afc-5b05-451d-8750-7525e88cedca,ewallet,MY,Boost,my_boost_ewallet
f81f48ad-079f-4994-82ed-eb47d453c4ef,bank_redirect,MY,Hong Leong Bank,my_hongleongonline_bank
05e17d09-111c-4bf8-900c-ce4c17e13192,on-screen QR,MY,Hong Leong PEx+,my_hongleongpex_qr_ewallet
777a3c6f-2103-4096-89fa-32416db3e8e0,bank_redirect,MY,Bank Rakyat,my_bankrakyatinternetbanking_bank
4c1bab8a-1534-4cbc-91ca-5ec893ae9b0d,bank_redirect,MY,CIMB Virtual Account,my_cimbvirtualaccount_bank
bd2a6602-e585-48d2-96ed-9edc555abefa,bank_redirect,MY,Maybank,my_mayabank2u_bank
4ae2880a-dcd0-4562-b724-45b763b3fac9,bank_redirect,MY,BSN Bank,my_bsnonline_bank
c62f3caa-6105-47c3-962e-53d34945659c,ewallet,MY,PayPal eWallet,my_paypal_myr_ewallet
97e22dc8-b378-46ba-8934-59039eae2975,bank_redirect,MY,RHB Bank,my_rhbonline_bank
2f3e3150-a211-45cf-b8f3-470f6e9b372d,bank_redirect,MY,Standard Chartered Bank,my_standardcharteredbank_bank
939cf5f8-9010-454e-98e8-4a1c52b8ce68,bank_redirect,CO,Colombia BANCO_UNION_COLOMBIANO_TEST bank payment,co_banco_union_colombiano_bank_test
715601bd-a8b7-444b-85ab-95d2584a3a0b,bank_redirect,TH,Krungsri e-Payment,th_krungsri_epayment_bank
f7030da8-c6fe-40e1-9a03-8f340d4e1f43,bank_redirect,TH,"Omise (Gateway) bank payments:Krungsri Krung Thai, Bankgok Bank, Siam Commercial Bank (SCB)",th_other_onlinebanking_bank
93884e1d-81bd-4ab1-a63f-3d91f61b4b67,bank_redirect,MY,Web Cash,my_webcash_bank
